ap     rec    prec   f-measure
0.7037 0.0003 1.0000 0.0007
0.7037 0.0007 1.0000 0.0013
0.7037 0.0007 0.6667 0.0013
0.7037 0.0010 0.7500 0.0020
0.7037 0.0013 0.8000 0.0026
0.7037 0.0013 0.6667 0.0026
0.7037 0.0013 0.5714 0.0026
0.7037 0.0013 0.5000 0.0026
0.7037 0.0016 0.5556 0.0032
0.7037 0.0016 0.5000 0.0032
0.7037 0.0020 0.5455 0.0039
0.7037 0.0023 0.5833 0.0045
0.7037 0.0026 0.6154 0.0052
0.7037 0.0029 0.6429 0.0058
0.7037 0.0033 0.6667 0.0065
0.7037 0.0036 0.6875 0.0071
0.7037 0.0039 0.7059 0.0078
0.7037 0.0042 0.7222 0.0084
0.7037 0.0046 0.7368 0.0091
0.7037 0.0049 0.7500 0.0097
0.7037 0.0052 0.7619 0.0104
0.7037 0.0055 0.7727 0.0110
0.7037 0.0059 0.7826 0.0116
0.7037 0.0062 0.7917 0.0123
0.7037 0.0065 0.8000 0.0129
0.7037 0.0068 0.8077 0.0136
0.7037 0.0072 0.8148 0.0142
0.7037 0.0075 0.8214 0.0149
0.7037 0.0078 0.8276 0.0155
0.7037 0.0081 0.8333 0.0161
0.7037 0.0085 0.8387 0.0168
0.7037 0.0088 0.8438 0.0174
0.7037 0.0091 0.8485 0.0181
0.7037 0.0095 0.8529 0.0187
0.7037 0.0098 0.8571 0.0193
0.7037 0.0101 0.8611 0.0200
0.7037 0.0104 0.8649 0.0206
0.7037 0.0108 0.8684 0.0212
0.7037 0.0111 0.8718 0.0219
0.7037 0.0114 0.8750 0.0225
0.7037 0.0117 0.8780 0.0232
0.7037 0.0121 0.8810 0.0238
0.7037 0.0124 0.8837 0.0244
0.7037 0.0127 0.8864 0.0251
0.7037 0.0130 0.8889 0.0257
0.7037 0.0134 0.8913 0.0263
0.7037 0.0137 0.8936 0.0270
0.7037 0.0140 0.8958 0.0276
0.7037 0.0143 0.8980 0.0282
0.7037 0.0147 0.9000 0.0289
0.7037 0.0150 0.9020 0.0295
0.7037 0.0153 0.9038 0.0301
0.7037 0.0156 0.9057 0.0308
0.7037 0.0160 0.9074 0.0314
0.7037 0.0163 0.9091 0.0320
0.7037 0.0166 0.9107 0.0327
0.7037 0.0169 0.9123 0.0333
0.7037 0.0173 0.9138 0.0339
0.7037 0.0176 0.9153 0.0345
0.7037 0.0179 0.9167 0.0352
0.7037 0.0183 0.9180 0.0358
0.7037 0.0186 0.9194 0.0364
0.7037 0.0189 0.9206 0.0370
0.7037 0.0189 0.9062 0.0370
0.7037 0.0189 0.8923 0.0370
0.7037 0.0189 0.8788 0.0370
0.7037 0.0192 0.8806 0.0376
0.7037 0.0196 0.8824 0.0383
0.7037 0.0199 0.8841 0.0389
0.7037 0.0202 0.8857 0.0395
0.7037 0.0205 0.8873 0.0401
0.7037 0.0209 0.8889 0.0408
0.7037 0.0212 0.8904 0.0414
0.7037 0.0215 0.8919 0.0420
0.7037 0.0218 0.8933 0.0426
0.7037 0.0218 0.8816 0.0426
0.7037 0.0222 0.8831 0.0432
0.7037 0.0225 0.8846 0.0439
0.7037 0.0228 0.8861 0.0445
0.7037 0.0231 0.8875 0.0451
0.7037 0.0235 0.8889 0.0457
0.7037 0.0238 0.8902 0.0463
0.7037 0.0241 0.8916 0.0470
0.7037 0.0244 0.8929 0.0476
0.7037 0.0248 0.8941 0.0482
0.7037 0.0251 0.8953 0.0488
0.7037 0.0254 0.8966 0.0494
0.7037 0.0257 0.8977 0.0501
0.7037 0.0261 0.8989 0.0507
0.7037 0.0264 0.9000 0.0513
0.7037 0.0267 0.9011 0.0519
0.7037 0.0267 0.8913 0.0519
0.7037 0.0271 0.8925 0.0525
0.7037 0.0274 0.8936 0.0531
0.7037 0.0277 0.8947 0.0537
0.7037 0.0280 0.8958 0.0544
0.7037 0.0284 0.8969 0.0550
0.7037 0.0287 0.8980 0.0556
0.7037 0.0290 0.8990 0.0562
0.7037 0.0293 0.9000 0.0568
0.7037 0.0293 0.8911 0.0568
0.7037 0.0293 0.8824 0.0568
0.7037 0.0293 0.8738 0.0568
0.7037 0.0297 0.8750 0.0574
0.7037 0.0300 0.8762 0.0580
0.7037 0.0303 0.8774 0.0586
0.7037 0.0306 0.8785 0.0592
0.7037 0.0310 0.8796 0.0598
0.7037 0.0313 0.8807 0.0604
0.7037 0.0316 0.8818 0.0610
0.7037 0.0319 0.8829 0.0617
0.7037 0.0323 0.8839 0.0623
0.7037 0.0326 0.8850 0.0629
0.7037 0.0329 0.8860 0.0635
0.7037 0.0332 0.8870 0.0641
0.7037 0.0336 0.8879 0.0647
0.7037 0.0339 0.8889 0.0653
0.7037 0.0342 0.8898 0.0659
0.7037 0.0346 0.8908 0.0665
0.7037 0.0349 0.8917 0.0671
0.7037 0.0352 0.8926 0.0677
0.7037 0.0355 0.8934 0.0683
0.7037 0.0359 0.8943 0.0689
0.7037 0.0362 0.8952 0.0695
0.7037 0.0365 0.8960 0.0702
0.7037 0.0365 0.8889 0.0701
0.7037 0.0368 0.8898 0.0707
0.7037 0.0372 0.8906 0.0713
0.7037 0.0372 0.8837 0.0713
0.7037 0.0375 0.8846 0.0719
0.7037 0.0375 0.8779 0.0719
0.7037 0.0375 0.8712 0.0719
0.7037 0.0378 0.8722 0.0725
0.7037 0.0378 0.8657 0.0725
0.7037 0.0381 0.8667 0.0731
0.7037 0.0385 0.8676 0.0737
0.7037 0.0388 0.8686 0.0743
0.7037 0.0391 0.8696 0.0749
0.7037 0.0394 0.8705 0.0755
0.7037 0.0394 0.8643 0.0754
0.7037 0.0398 0.8652 0.0760
0.7037 0.0398 0.8592 0.0760
0.7037 0.0401 0.8601 0.0766
0.7037 0.0404 0.8611 0.0772
0.7037 0.0404 0.8552 0.0772
0.7037 0.0407 0.8562 0.0778
0.7037 0.0411 0.8571 0.0784
0.7037 0.0414 0.8581 0.0790
0.7037 0.0417 0.8591 0.0796
0.7037 0.0420 0.8600 0.0802
0.7037 0.0420 0.8543 0.0801
0.7037 0.0424 0.8553 0.0807
0.7037 0.0427 0.8562 0.0813
0.7037 0.0430 0.8571 0.0819
0.7037 0.0434 0.8581 0.0825
0.7037 0.0437 0.8590 0.0831
0.7037 0.0440 0.8599 0.0837
0.7037 0.0443 0.8608 0.0843
0.7037 0.0447 0.8616 0.0849
0.7037 0.0450 0.8625 0.0855
0.7037 0.0453 0.8634 0.0861
0.7037 0.0456 0.8642 0.0867
0.7037 0.0460 0.8650 0.0873
0.7037 0.0463 0.8659 0.0879
